Group1,Group2,MaleWtKgCategory,PopularityUS2017,BreedName
1,1,1,147.0,Affenpinscher
1,3,1,147.0,Affenpinscher
2,3,3,93.0,Afghan Hound
1,1,3,55.0,Airedale Terrier
1,2,3,55.0,Airedale Terrier
1,3,3,55.0,Airedale Terrier
3,1,3,55.0,Airedale Terrier
3,2,3,55.0,Airedale Terrier
3,3,3,55.0,Airedale Terrier
3,1,4,47.0,Akita
3,2,4,47.0,Akita
3,1,3,59.0,Alaskan Malamute
3,3,3,59.0,Alaskan Malamute
1,1,1,118.0,Spitz
1,3,1,118.0,Spitz
1,1,1,126.0,American Hairless Terrier
1,2,1,126.0,American Hairless Terrier
1,3,1,126.0,American Hairless Terrier
3,1,1,126.0,American Hairless Terrier
3,2,1,126.0,American Hairless Terrier
3,3,1,126.0,American Hairless Terrier
1,1,3,83.0,American Staffordshire Terrier
1,2,3,83.0,American Staffordshire Terrier
1,3,3,83.0,American Staffordshire Terrier
3,1,3,83.0,American Staffordshire Terrier
3,2,3,83.0,American Staffordshire Terrier
3,3,3,83.0,American Staffordshire Terrier
2,1,2,167.0,American Water Spaniel
2,2,2,167.0,American Water Spaniel
2,3,2,167.0,American Water Spaniel
3,2,4,86.0,Anatolian Shepherd
3,1,3,56.0,Cattle Dog
3,2,3,56.0,Cattle Dog
1,1,3,17.0,Australian Shepherd
1,2,3,17.0,Australian Shepherd
1,3,3,17.0,Australian Shepherd
3,1,3,17.0,Australian Shepherd
3,2,3,17.0,Australian Shepherd
3,3,3,17.0,Australian Shepherd
1,1,1,137.0,Australian Terrier
1,2,1,137.0,Australian Terrier
1,3,1,137.0,Australian Terrier
3,1,1,137.0,Australian Terrier
3,2,1,137.0,Australian Terrier
3,3,1,137.0,Australian Terrier
3,3,2,84.0,Basenji
3,3,3,39.0,Basset Hound
3,3,2,6.0,Beagle
3,1,3,125.0,Bearded Collie
3,2,3,125.0,Bearded Collie
3,1,4,141.0,Beauceron
3,2,4,141.0,Beauceron
1,1,1,151.0,Bedlington Terrier
1,2,1,151.0,Bedlington Terrier
1,3,1,151.0,Bedlington Terrier
3,1,1,151.0,Bedlington Terrier
3,2,1,151.0,Bedlington Terrier
3,3,1,151.0,Bedlington Terrier
3,1,3,120.0,Belgian Shepherd Dog Sheepdog
3,2,3,120.0,Belgian Shepherd Dog Sheepdog
3,1,3,44.0,Belgian Shepherd Malinois
3,2,3,44.0,Belgian Shepherd Malinois
3,1,3,103.0,Belgian Shepherd Tervuren
3,2,3,103.0,Belgian Shepherd Tervuren
3,2,4,25.0,Mountain Dog
1,1,1,46.0,Bichon Frise
1,3,1,46.0,Bichon Frise
3,3,4,130.0,Coonhound
2,1,3,1.0,Labrador Retriever
2,2,3,1.0,Labrador Retriever
2,3,3,1.0,Labrador Retriever
3,2,4,116.0,Black Russian Terrier
3,3,4,50.0,Bloodhound
3,3,3,132.0,Bluetick Coonhound
3,2,4,124.0,Boerboel
3,1,2,38.0,Border Collie
3,2,2,38.0,Border Collie
1,1,1,92.0,Border Terrier
1,2,1,92.0,Border Terrier
1,3,1,92.0,Border Terrier
3,1,1,92.0,Border Terrier
